Names (Dendrogram),Describtion
Min of upward continuation applied on RTP at 8km,Residual grid between upward continuations at 4?km and 8?km elevations
Std of upward continuation applied on RTP at 2km,Residual grid between upward continuations at 1?km and 2?km elevations
Max of upward continuation applied on RTP at 4km,Residual grid between upward continuations at 2?km and 4?km elevations
Mean of upward continuation applied on RTP at 4km,Residual grid between upward continuations at 2?km and 4?km elevations
Median of upward continuation applied on RTP at 4km,Residual grid between upward continuations at 2?km and 4?km elevations
Max of upward continuation applied on RTP at 8km,Residual grid between upward continuations at 4?km and 8?km elevations
Min of upward continuation applied on RTP at 2km,Residual grid between upward continuations at 1?km and 2?km elevations
Max of RTP,Total magnetic intensity grid reduced to the pole using the 2019 AWAGS magnetic data
Std of RTP,Total magnetic intensity grid reduced to the pole using the 2019 AWAGS magnetic data
Max of TMI,Grid of total magnetic intensity data from the 2019 Australian Wide Airborne Geophysical Survey (AWAGS)
Min of TMI upward continued at 500m,Residual grid between upward continuations at 0?m and 500?m elevations
Std of TMI,Grid of total magnetic intensity data from the 2019 Australian Wide Airborne Geophysical Survey (AWAGS)
Max of RTP with a cell size of 40 m,Total magnetic intensity grid reduced to the pole using the 2019 AWAGS magnetic data with a cell size of 40 meters
Max of TMI with a cell size of 40 m,Total magnetic intensity grid with a cell size of 40 meters
Std of RTP with a cell size of 40 m,Total magnetic intensity grid with a cell size of 40 meters
Proximity to unconformities in metamorphic boundaries,Unconformities within metamorphic rocks
Std of K concentration from radiometric data,Grid showing potassium concentration derived from the 2019 AWAGS radiometric data
Std of filtered K concentration from radiometric data,Filtered grid showing potassium concentration derived from the 2019 AWAGS radiometric data
Max of Th/K ratio from radiometric data,Grid illustrating the ratio of thorium to potassium concentrations from the 2019 AWAGS radiometric data
Std of Th/K ratio from radiometric data,Grid illustrating the ratio of thorium to potassium concentrations from the 2019 AWAGS radiometric data
Max of U/K ratio from radiometric data,Grid displaying the ratio of uranium to potassium concentrations from the 2019 AWAGS radiometric survey
Std of U/K ratio from radiometric data,Grid displaying the ratio of uranium to potassium concentrations from the 2019 AWAGS radiometric survey
Proximity to faulted boundaries of rock units,Proximity to faulted boundaries of rock units
Proximity to intrusive boundaries in the Lachlan Orogen,Proximity to intrusive boundaries in the Lachlan Orogen
Mean of silica index,"The content of silica in the area, including quartz and other silicate minerals"
Median of Silica index,"The content of silica in the area, including quartz and other silicate minerals"
Proximity to shear-wave velocity cluster boundaries,Proximity to shear-wave velocity cluster boundaries
